==========================================================
🚀 OMEGA PROTOCOL: HPO JOB MONITOR
Job ID: 2078394855616151552
ETA: ~1.0 to 1.5 Hours | Polling Interval: 2 minutes
==========================================================
[2026-03-13 05:50:37] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 05:52:39] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 05:54:41] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 05:56:43] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 05:58:45] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 06:00:46] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 06:02:48] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 06:04:50] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 06:06:52] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 06:08:53] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 06:10:55] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 06:12:57] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 06:14:59] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 06:17:01] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 06:19:03] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 06:21:06] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 06:23:08] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 06:25:09] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 06:27:11] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 06:29:13] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 06:31:15] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 06:33:17] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 06:35:19] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 06:37:21] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 06:39:23] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 06:41:25] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 06:43:26] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 06:45:28] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 06:47:30] 状态: JOB_STATE_RUNNING | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
[2026-03-13 06:49:32] 状态: JOB_STATE_CANCELLED | 正在探索: 0 | 已寻优: 0 | 失败/不可行: 0 | 总计: 0/15
==========================================================
🏁 寻优任务结束，最终状态: JOB_STATE_CANCELLED
